user,password,localidad,edad,musica,comida,peliculas,videojuegos,politica,deportes,mascotas,libros,tecnologia,memes
Khateeb Ali,password123,Lambayeque,20,0,0,1,1,0,1,1,0,0,1
Haris Mujeeb,password123,Lima,23,1,0,0,1,1,1,0,0,1,1
Iqbal Huseini,password123,Cajamarca,30,0,1,0,0,0,1,0,0,1,0
Layla,password123,Cajamarca,23,1,1,1,0,1,1,0,0,0,1
Louis,password123,Junín,28,0,0,1,1,1,0,0,1,1,0
Shannon,password123,Junín,29,1,1,0,1,0,0,0,1,0,1
Shabnam,password123,Lima,19,1,1,0,1,1,0,0,1,1,1
Aneel,password123,Apurímac,34,0,1,0,0,0,0,0,1,0,1
Sienna,password123,Cajamarca,28,0,1,1,1,1,0,0,0,0,1
Nikita,password123,Ucayali,35,1,1,1,1,1,1,1,0,0,0
Ocean,password123,Piura,36,0,0,1,0,1,0,1,1,1,1
Zulqurnain,password123,Amazonas,27,0,0,1,1,0,0,1,0,0,1
Rizwan,password123,Lambayeque,21,0,0,1,1,1,0,0,1,0,1
Noah,password123,Loreto,37,0,0,1,1,1,1,1,1,1,0
Faizy Yar,password123,Huánuco,28,0,0,0,0,0,0,0,0,0,0
Ismail,password123,Cuzco,20,0,0,1,1,0,1,1,0,1,0
Freddie,password123,San Martín,32,1,0,1,1,0,0,1,0,1,1
Robert,password123,Arequipa,21,0,1,1,1,1,0,1,1,1,1
Ronan,password123,Huánuco,21,0,1,0,0,0,0,0,0,1,0
Muhammad Usama,password123,Pasco,23,0,1,1,0,1,1,1,1,1,0
Ellie,password123,Piura,34,1,1,1,1,1,0,0,1,0,0
Sumaiya,password123,Piura,33,1,1,1,1,1,1,0,1,0,1
Jahangir,password123,Callao,24,0,0,0,0,0,1,1,1,0,0
Yaseen Ahmed,password123,Cuzco,30,0,1,0,1,0,1,0,0,0,1
Imran,password123,San Martín,28,1,0,1,0,0,1,1,1,1,1
Eesa,password123,Ayacucho,20,1,1,1,1,0,0,1,0,0,0
Kyle,password123,Amazonas,27,0,0,1,1,1,0,0,0,0,0
Yazdaan,password123,San Martín,22,0,1,1,0,1,0,1,0,0,1
Abdul Rohim,password123,Cuzco,27,0,1,0,0,0,1,1,0,0,1
Kayden,password123,Madre de Dios,18,1,0,0,0,0,1,0,1,0,1
Faizan Sheikh,password123,Junín,24,0,1,1,0,1,0,1,1,1,1
Arthur,password123,Huancavelica,19,1,0,1,0,1,0,0,0,1,1
Aleena,password123,San Martín,23,0,1,1,0,1,1,0,0,1,1
Aziz ur Rehman,password123,Ica,26,0,1,1,1,0,1,1,0,0,0
Dililah,password123,Huancavelica,30,0,0,1,1,1,1,1,1,1,1
Edgar,password123,Madre de Dios,22,0,0,0,0,0,1,0,1,1,1
Usman Kazi,password123,Cajamarca,20,1,0,0,1,1,1,1,1,1,1
Ali Dogar,password123,Huancavelica,30,1,1,1,0,0,1,1,1,0,1
Faith,password123,Piura,20,1,0,1,0,0,1,0,0,0,1
Mian Tahir,password123,San Martín,34,0,1,1,1,1,1,1,1,0,1
Ismael,password123,Amazonas,37,0,1,0,0,0,0,0,1,1,0
Rameez,password123,Tacna,37,0,0,1,1,0,0,1,1,1,1
Ollie,password123,Huánuco,36,0,1,0,0,1,1,0,0,1,0
Iris,password123,Pasco,27,1,1,1,0,0,1,0,0,1,0
Asher,password123,Cajamarca,38,1,1,1,1,0,0,1,1,0,1
Subur Sugiarto,password123,Lambayeque,35,0,0,0,0,0,1,0,1,0,0
Maroof,password123,Huancavelica,40,1,0,1,0,1,1,1,0,0,1
Sana Saleem Awan,password123,Arequipa,32,0,1,1,0,1,1,0,0,0,0
Tia,password123,Ucayali,26,0,1,0,1,0,0,0,1,0,1
Eesha,password123,Moquegua,31,0,1,1,1,0,0,0,1,1,0
Farhan,password123,Loreto,30,1,0,0,1,0,0,0,1,0,0
Yusuf,password123,Tacna,37,1,1,1,1,1,0,1,1,0,1
Abdullah Sungkar,password123,Cuzco,26,1,1,1,0,0,1,0,0,1,0
Harleu,password123,Piura,24,0,0,1,0,1,0,0,0,0,1
Tony,password123,Moquegua,20,1,1,1,1,1,1,1,0,0,1
Sajjad Ali,password123,Cuzco,27,0,0,1,0,1,0,0,1,0,1
Taskeen,password123,Huánuco,36,1,1,0,0,1,1,1,1,0,0
Fariiddu Khan,password123,Loreto,31,1,1,0,1,0,1,0,0,1,1
Muhammad Bilal,password123,Piura,30,1,1,1,1,0,1,0,0,0,1
Aris Munandar,password123,Cuzco,31,0,0,1,0,1,0,0,1,1,0
Joko Triharmanto,password123,Ayacucho,23,0,0,1,0,0,1,1,0,0,0
Bailey,password123,Callao,30,0,0,1,1,1,0,1,1,0,0
Rio,password123,Huancavelica,32,1,1,1,1,0,0,1,1,1,1
Tanveer Ghumman,password123,Lambayeque,23,0,0,0,1,0,0,1,0,0,1
Abu Bakar Baasyir,password123,Ucayali,19,0,0,1,1,0,1,0,1,1,0
Austin,password123,Tacna,33,1,1,0,0,1,0,0,0,0,1
Harman,password123,Callao,30,1,1,1,1,1,0,0,0,0,1
Christine,password123,Loreto,35,0,1,1,0,1,1,0,1,0,1
Dwayne,password123,Loreto,34,1,0,1,0,0,1,0,0,0,1
Abigail,password123,Puno,24,1,1,1,0,1,1,1,1,1,1
Eve,password123,Apurímac,21,0,1,1,0,1,1,1,1,0,0
Arshad,password123,Moquegua,26,1,0,1,0,1,1,1,1,1,1
Megan,password123,Tumbes,22,1,0,0,0,1,1,0,1,1,0
Adam,password123,Moquegua,36,0,0,1,1,1,1,1,0,1,1
Maya,password123,Huánuco,30,1,1,0,1,1,1,1,1,0,0
Jasleem,password123,La Libertad,36,0,0,1,0,1,1,1,0,1,1
Maryam Salman,password123,Lambayeque,21,1,1,0,1,1,0,1,1,0,1
Muhammad Khan,password123,Amazonas,27,0,1,0,1,0,0,0,0,1,0
Shahzad Rasheed,password123,Amazonas,25,1,0,1,0,0,0,0,1,1,0
Tohir,password123,Apurímac,30,1,0,1,0,1,1,1,0,0,0
Bobby,password123,Cajamarca,26,1,1,1,0,1,0,0,0,0,1
Hector,password123,Tumbes,22,1,0,0,1,0,0,1,0,0,1
Tanisha,password123,Tumbes,39,1,0,0,1,1,1,0,0,0,0
Ayva,password123,Amazonas,34,1,0,0,0,1,1,1,0,1,1
Abu Fida,password123,Loreto,32,0,0,0,1,0,0,1,0,0,0
Khushi,password123,Piura,22,1,0,1,0,1,0,0,0,1,0
Ayesha Shah,password123,Ayacucho,39,1,1,1,1,1,1,1,1,0,0
Natalie,password123,Ayacucho,24,0,0,0,1,0,1,0,1,0,1
Zulfiqar,password123,Moquegua,23,1,1,1,1,1,0,1,0,0,1
Evan,password123,Junín,27,0,1,0,0,0,0,0,1,1,1
Lillie,password123,Callao,35,0,1,0,1,1,1,0,1,1,0
Violet,password123,Ayacucho,19,0,1,0,0,0,1,0,0,1,1
Alicia,password123,Callao,32,1,1,0,0,0,1,1,1,1,0
Nasrullah,password123,Piura,30,1,0,1,0,1,1,1,1,0,1
Salman Madni,password123,La Libertad,38,1,1,0,1,0,0,1,1,0,0
Arooj,password123,Lambayeque,19,1,0,0,1,0,0,1,0,1,1
Osama Ch,password123,Loreto,21,1,0,1,0,1,0,1,1,1,0
Nathan,password123,Ayacucho,28,1,0,0,1,0,0,0,0,0,0
Nazir Ahmed,password123,Moquegua,39,1,1,0,1,0,0,0,0,0,0
Hannah,password123,Huánuco,30,1,0,0,0,0,0,0,0,0,0
Hayden,password123,Lima,40,0,0,0,0,1,0,0,0,1,0
Hamayun Zubair,password123,Piura,39,1,0,0,0,1,1,1,0,0,0
Ali Awan,password123,Amazonas,29,0,1,0,0,0,0,0,1,1,1
Benjamin,password123,Loreto,40,1,1,1,0,0,0,0,0,1,0
Nate,password123,Loreto,28,1,1,0,1,1,0,1,0,0,0
Ramos,password123,Arequipa,27,0,0,0,0,0,0,0,1,1,1
Hamza Rehman,password123,Huánuco,38,1,0,0,0,1,1,0,1,0,1
Jasper,password123,Apurímac,28,0,0,1,0,0,1,0,0,0,0
Audry,password123,La Libertad,31,0,1,0,0,1,0,1,0,1,1
Reece,password123,Madre de Dios,30,1,0,0,1,0,0,1,0,0,1
Mohammad Ata Farid,password123,Lambayeque,35,0,0,0,0,0,0,0,1,0,0
Emila,password123,Loreto,23,0,0,0,0,1,1,0,1,0,0
Zach,password123,Cuzco,37,1,0,0,1,1,0,1,0,1,1
Said Sungkar,password123,Piura,28,1,0,0,1,1,1,1,0,1,1
Carmen,password123,Huancavelica,33,1,0,1,1,0,1,1,0,0,1
Kamal Kami,password123,Callao,36,1,0,1,0,0,0,1,1,0,1
Imam Samudra,password123,Arequipa,37,0,1,0,0,0,1,0,0,1,1
Ivy,password123,Cajamarca,22,1,0,1,1,0,0,0,0,0,1
Shanice,password123,Ucayali,26,1,0,0,1,0,1,1,1,0,0
Scott,password123,Huancavelica,36,1,0,0,0,0,0,1,0,0,0
Lewis,password123,Tumbes,37,1,1,0,0,0,0,0,0,1,0
Salik Firdaus,password123,Arequipa,20,0,1,0,0,1,1,1,0,1,1
Hafeez,password123,Cuzco,30,1,1,1,0,0,0,0,1,1,0
Tahir,password123,Lambayeque,21,1,0,0,1,1,1,0,0,1,0
Misno,password123,Puno,18,1,1,0,1,0,1,0,1,0,0
Mabel,password123,Ucayali,32,1,1,1,0,0,0,0,0,1,1
Joseph,password123,Cajamarca,35,1,0,0,0,1,0,1,1,1,1
Olly,password123,Ayacucho,40,1,0,0,0,0,0,0,1,0,1
Mahnoor,password123,Lambayeque,20,1,0,1,0,0,0,0,1,1,0
Fahad Malik,password123,Cuzco,28,1,1,0,1,0,1,1,0,1,0
Fathurrochman,password123,Ica,35,0,1,0,0,1,1,1,0,1,1
Cholily,password123,Huancavelica,31,1,0,0,1,1,0,1,0,1,1
Shahzada Khurram,password123,Cajamarca,18,1,0,0,1,0,0,1,0,1,0
Samiullah,password123,Loreto,20,0,1,1,1,1,1,0,0,0,1
Azhar,password123,Callao,34,0,1,0,1,0,0,0,1,0,0
Momina,password123,Cajamarca,39,0,0,1,1,0,1,1,1,0,0
Daisy,password123,Apurímac,35,1,0,1,0,0,0,0,0,1,0
Qareem,password123,Huánuco,40,1,0,1,0,1,1,0,0,1,1
Najam,password123,Huánuco,24,0,1,1,1,1,1,1,0,0,0
Elijah,password123,Cuzco,21,1,0,1,0,1,0,1,1,0,1
Saad,password123,Cajamarca,23,0,1,0,0,0,0,1,1,0,1
Ayaan,password123,Puno,31,0,1,1,1,1,1,1,0,1,1
Joanne,password123,Ica,32,0,0,1,1,1,1,1,1,0,1
Zeehsan Ahmed,password123,Huánuco,26,0,0,0,0,1,0,0,0,0,1
Macie,password123,Huancavelica,23,1,0,1,0,0,0,1,1,0,1
Arsalan,password123,San Martín,21,0,1,1,1,1,1,0,0,0,1
Amman,password123,Madre de Dios,34,1,0,1,0,0,1,1,1,0,1
Erin,password123,La Libertad,22,1,1,0,1,1,0,1,0,1,0
Ahmad Rofiq Ridho,password123,Lambayeque,24,1,1,0,0,0,0,1,1,1,1
Aquib,password123,Pasco,28,1,0,0,1,0,0,1,1,0,1
Wajahat,password123,Piura,25,1,0,1,1,0,1,1,0,0,1
Saleem,password123,Tacna,19,1,0,1,1,0,1,1,1,1,0
Diya,password123,Ica,30,1,1,1,0,0,0,0,1,1,0
Jasmin,password123,Loreto,36,1,0,0,1,1,1,1,1,0,1
Haider Umar,password123,Madre de Dios,19,1,0,1,1,1,1,0,0,0,1
Charlotte,password123,Áncash,39,1,1,0,1,1,0,1,1,0,0
Gracie,password123,Madre de Dios,19,0,1,1,1,1,0,0,1,0,1
Sadie,password123,Huánuco,23,0,0,1,1,0,1,0,0,0,0
Zander,password123,Loreto,34,1,1,0,1,1,1,1,1,1,0
Son Hadi,password123,Cuzco,22,0,1,0,0,0,0,0,0,0,0
Rohan,password123,Junín,35,1,0,0,0,1,0,0,1,1,0
Vriab,password123,Tumbes,20,0,1,0,1,0,0,1,0,1,0
Afifa,password123,Cajamarca,33,0,0,0,0,0,1,0,0,0,0
Muhammad Tayyab,password123,Junín,40,1,0,1,0,0,0,1,1,0,1
Ewan,password123,Amazonas,25,1,0,0,0,1,1,0,1,1,0
Evelyn,password123,Moquegua,31,1,1,1,1,1,1,0,0,1,1
Joel,password123,Callao,39,1,0,1,0,0,0,1,1,1,1
Aidan,password123,Huancavelica,37,0,0,0,0,1,0,0,1,1,1
Wyat,password123,San Martín,23,1,0,1,1,0,1,0,1,1,1
Kyran,password123,Apurímac,28,1,0,1,0,0,0,0,1,0,0
Miliana,password123,San Martín,40,0,0,1,0,1,0,0,1,0,0
Felic,password123,Apurímac,23,0,1,1,1,1,1,1,1,1,1
Nadeem,password123,Pasco,28,0,1,0,1,0,0,1,1,0,1
Huzaifa Moughal,password123,Lima,29,1,0,0,1,0,1,0,1,1,0
Yousaf,password123,Madre de Dios,22,1,0,1,0,0,1,1,0,0,0
Imad,password123,Ica,33,1,0,1,0,1,1,0,1,1,0
Rehmat Khan,password123,Arequipa,22,1,0,1,0,0,0,1,0,0,0
Anif Solchanudin,password123,Piura,33,0,1,1,0,1,0,0,1,1,1
John,password123,La Libertad,32,0,0,0,1,0,1,1,1,0,0
Javeed,password123,Huancavelica,25,1,0,1,1,1,1,1,0,1,1
KH Hassan,password123,Apurímac,29,1,1,0,1,0,1,0,1,0,0
Adnan Shah,password123,Huánuco,29,0,0,1,0,0,0,1,0,1,1
Zack,password123,Arequipa,36,1,0,0,1,0,1,1,1,0,0
Oliver,password123,Madre de Dios,29,0,0,0,0,0,1,1,1,0,1
Saeed,password123,Ayacucho,36,0,0,1,0,1,1,1,0,0,0
Saleem Hassan,password123,Ucayali,24,1,0,0,1,1,0,0,0,1,0
Sebastian,password123,Loreto,22,1,0,1,1,1,0,0,1,0,0
De Gea,password123,Cajamarca,19,0,0,1,0,0,1,1,0,0,0
Joshua,password123,Huánuco,20,1,1,0,0,0,1,0,1,1,1
Harvey,password123,Callao,25,1,0,0,0,1,0,1,1,0,0
Christopher,password123,Tacna,34,1,1,0,0,1,0,0,1,1,1
Maison,password123,Tumbes,21,1,0,1,1,0,1,1,1,1,1
Amir Jamil,password123,Amazonas,24,0,1,1,1,1,1,1,1,1,1
Orla,password123,Ayacucho,27,1,1,1,0,0,1,1,0,0,1
Hermione,password123,Junín,32,0,0,0,1,1,0,1,1,1,0
Verity,password123,Áncash,31,0,0,0,0,0,0,1,1,0,1
Subhaan,password123,Lima,26,0,1,0,0,0,1,0,1,0,1
Nadiya,password123,Pasco,35,0,0,1,0,1,1,0,0,1,1
Muhib Awais,password123,Huánuco,39,0,0,0,0,0,0,1,0,1,1
Zia Khan,password123,San Martín,20,0,0,0,1,0,0,1,0,1,1
Dani Chandra,password123,La Libertad,34,0,1,1,0,1,1,1,0,1,1
Zulkarnaen,password123,Madre de Dios,36,0,0,1,0,1,0,0,0,1,0
Leo,password123,Lima,36,0,0,1,0,0,1,1,0,1,0
Sandra,password123,Apurímac,28,0,1,0,0,0,0,1,0,1,0
Saqib,password123,Puno,28,1,1,1,1,0,1,1,0,1,0
Raja Imran Zafar,password123,San Martín,31,0,0,0,1,0,0,1,1,1,0
Pollard,password123,Callao,29,1,0,1,0,1,0,0,0,0,1
Andleeb,password123,Huánuco,28,1,1,0,1,0,1,1,0,1,0
Qadeer,password123,Amazonas,38,0,0,0,1,0,1,0,0,0,1
Abu Bakar,password123,Ayacucho,34,0,1,1,1,1,0,1,1,0,1
Salmaan,password123,Callao,22,1,0,1,0,0,1,1,1,0,1
Mehboob,password123,Tacna,29,1,0,0,0,1,1,0,0,1,1
Muhammad Faisal Sheikh,password123,Apurímac,28,1,1,0,1,0,1,1,0,1,1
Leaon,password123,Ucayali,35,1,1,1,1,1,1,1,1,1,1
Beatrice,password123,Pasco,29,1,0,1,0,1,0,1,0,1,1
Wasil,password123,Tumbes,19,1,0,1,0,0,0,1,1,1,1
Hassaan,password123,Piura,27,0,1,1,0,1,1,1,1,0,1
Niamh,password123,Amazonas,26,0,1,0,1,1,0,1,1,0,1
Hina,password123,Junín,33,1,0,1,0,0,1,1,1,1,0
Sye,password123,Lambayeque,38,0,1,1,1,1,1,0,1,1,0
Shahzada Asad,password123,Ica,19,1,0,1,1,0,0,1,0,1,1
Rosie,password123,Ica,26,1,0,1,1,0,1,1,1,1,1
Sarwar,password123,Huancavelica,31,1,1,1,1,0,1,1,0,1,1
Bella,password123,Lima,22,1,1,0,1,0,1,1,1,0,1
Bushra,password123,Huancavelica,34,1,1,0,1,0,1,1,0,1,0
Nida Khan,password123,Ucayali,22,0,0,0,0,0,1,1,0,1,1
Muhammad Raza Ansari,password123,Huancavelica,23,1,0,1,0,0,0,0,0,0,1
Eleanor,password123,Cajamarca,27,0,0,1,0,1,1,0,1,0,0
Alyssa,password123,Junín,34,1,1,0,1,0,1,0,0,0,0
Rameeza,password123,Callao,37,1,0,1,0,1,1,0,1,1,0
Allah Baksh,password123,Lambayeque,19,1,0,1,0,1,1,1,0,1,1
Azam Rumi,password123,La Libertad,36,1,0,1,1,0,0,1,0,1,1
Freya,password123,Lima,29,1,0,1,0,1,1,1,1,1,0
Marley,password123,Pasco,23,0,1,0,0,1,1,1,0,0,0
Sion,password123,Piura,33,0,1,1,0,1,1,0,1,1,0
Hassan Bhatti,password123,Cuzco,39,1,1,1,0,1,0,0,1,0,0
Zahid Khalil,password123,Áncash,21,1,1,1,0,1,0,1,0,0,0
Ajay,password123,Puno,25,0,1,1,0,1,0,1,1,1,1
Edward,password123,Tumbes,38,0,0,0,0,1,0,1,0,1,0
Aneela,password123,Arequipa,38,0,1,1,0,1,0,0,0,0,0
Ella,password123,Huancavelica,30,1,0,0,0,0,1,0,0,0,1
Waqas Nazir,password123,Junín,39,1,0,1,1,0,1,0,1,0,0
Hope,password123,San Martín,32,0,1,1,0,1,1,1,0,0,0
Muhammad Wasif,password123,Cuzco,21,0,1,1,1,0,1,0,1,1,0
Mubashar Baba,password123,Ica,29,1,1,1,0,1,0,1,1,1,0
Bale,password123,La Libertad,31,1,1,0,1,0,1,1,1,1,0
Kashf,password123,Ucayali,20,0,0,1,0,1,1,1,1,0,0
Abdul Rafey,password123,Ucayali,31,1,1,1,1,0,0,0,0,1,0
Shoaib Khan,password123,Ucayali,27,0,1,1,1,1,0,0,1,0,1
Saleem Ahmed,password123,Lima,26,0,0,0,1,0,1,1,1,0,1
Maximillan,password123,Lambayeque,24,0,0,0,1,0,1,1,1,0,0
Jensen,password123,Arequipa,19,1,1,0,0,1,1,1,0,1,0
Brian,password123,Ucayali,40,0,1,0,0,0,0,1,1,1,1
Faizan,password123,Pasco,35,1,1,0,1,0,1,0,0,0,1
Sibgha,password123,Junín,32,1,1,1,0,1,0,1,1,1,1
Muhammad Arif,password123,Tumbes,33,1,0,1,0,1,0,1,1,0,0
Max,password123,Huánuco,29,0,1,0,0,0,0,1,0,1,0
Ahmed,password123,Lambayeque,38,0,0,0,1,1,1,0,0,1,1
Sammi,password123,Tacna,36,0,1,1,0,0,0,1,0,0,0
Abdullah Butt,password123,Puno,20,0,1,0,0,1,1,0,1,1,0
Saad Fiaz,password123,Cuzco,25,1,0,1,1,0,0,1,1,1,0
Mohamed Rais,password123,Apurímac,31,0,1,1,0,1,0,0,0,0,1
:ibbie,password123,Junín,21,0,1,0,1,0,0,1,1,0,0
Ahmed Naqash,password123,Madre de Dios,37,1,0,1,0,1,0,1,1,1,1
Ibrahim,password123,San Martín,20,1,1,1,1,1,0,1,0,1,1
Nusrat Khan,password123,Ica,24,0,1,0,0,0,0,1,1,0,1
Engkos Kosasih,password123,Apurímac,24,0,0,1,0,1,1,1,0,1,1
Mabele,password123,Tumbes,26,1,0,0,1,0,1,0,0,1,1
Sameer Ahmed,password123,Tumbes,22,0,0,0,0,1,1,1,0,0,1
Pearl,password123,Callao,19,1,0,0,1,1,0,1,0,0,1
Mula,password123,Piura,24,1,1,0,0,0,0,0,1,1,0
Asad Ali,password123,San Martín,22,1,1,1,0,0,1,1,1,1,1
Lydia,password123,Tacna,23,0,1,1,1,0,0,1,0,1,1
Cody,password123,Lima,39,1,1,0,0,1,1,0,0,0,1
Albert,password123,Piura,40,0,1,1,0,1,1,1,1,0,1
Angelina,password123,Piura,29,1,0,0,1,0,0,1,1,1,1
Alina,password123,Junín,18,0,1,0,1,1,1,0,0,1,0
Murk Latif,password123,Áncash,33,0,0,1,1,0,0,1,0,0,1
Isobel,password123,Callao,36,1,0,1,1,1,1,1,0,1,1
Nancy,password123,Huancavelica,38,0,1,1,0,0,1,1,1,1,1
Alexander,password123,San Martín,40,0,1,0,0,1,1,0,0,1,1
Anya,password123,Puno,32,1,0,1,0,1,0,0,0,1,0
Roberto,password123,Loreto,37,1,0,0,0,0,0,0,0,1,1
Muaaz Ur Rehman,password123,Apurímac,21,1,0,0,0,0,1,1,0,1,0
Rocco,password123,Tumbes,35,0,1,0,1,1,0,1,1,1,0
Muskaan,password123,Madre de Dios,30,0,1,1,0,0,0,1,1,0,0
Osama,password123,Áncash,36,1,0,1,1,0,0,1,0,0,1
Usman Ghani,password123,Loreto,32,1,1,1,0,0,0,1,0,0,0
Faheem Ahmed,password123,Lambayeque,31,0,1,1,1,0,0,1,1,1,0
Nathaniel,password123,Ucayali,32,1,1,0,0,1,1,0,1,0,0
Shehbaaz,password123,Ica,36,1,0,1,0,0,1,1,1,1,0
Hamid,password123,San Martín,36,0,1,1,0,0,1,0,0,0,1
Gulshan,password123,Piura,19,0,1,1,0,1,1,1,0,1,0
Tobias,password123,Lima,38,1,0,0,0,0,0,1,1,1,0
Stanley,password123,Huánuco,28,0,0,0,1,1,0,1,1,1,0
Michelle,password123,Lima,31,0,1,0,1,0,1,0,1,1,1
Aiza,password123,Tacna,37,0,1,0,1,1,1,1,1,1,0
Wajeeha,password123,La Libertad,32,1,1,1,1,0,0,1,1,0,0
Nargis,password123,Loreto,31,1,0,1,1,0,1,0,1,1,1
Nabeeha,password123,Cuzco,29,0,1,0,1,0,1,1,0,1,1
Fawad Khan,password123,Cuzco,31,1,1,0,1,0,1,1,0,0,0
Mazan Hoot,password123,Puno,27,0,0,0,0,0,0,0,1,1,0
Madison,password123,Huancavelica,33,1,1,0,1,0,1,0,0,0,0
Asim,password123,Puno,32,0,1,1,1,1,1,0,1,1,1
Lexie,password123,Ucayali,21,1,1,0,0,0,0,0,0,1,1
Iwan Dharmawan,password123,Arequipa,25,0,1,1,1,1,0,1,1,0,1
Amber,password123,Puno,40,1,1,1,0,0,1,0,1,0,1
Mustafa Dk,password123,Callao,37,0,1,0,1,1,1,0,0,0,0
Baharudin Soleh,password123,La Libertad,32,1,0,0,0,0,1,0,0,0,0
Aiana,password123,Tumbes,24,1,1,0,1,0,0,1,0,1,0
Jarryullah,password123,Apurímac,40,0,0,0,0,0,1,1,0,1,1
Akmal Khan,password123,Cuzco,30,0,1,1,0,1,1,0,0,0,0
Umar Wayan,password123,Pasco,23,0,0,1,1,0,0,1,0,0,1
Riley,password123,Lima,27,0,0,1,1,0,1,0,0,0,0
Sohail,password123,Cuzco,19,1,0,0,1,1,1,1,1,1,0
Ishku Ishku,password123,Lambayeque,21,1,0,0,1,1,0,1,0,0,1
Lucy,password123,Ica,33,1,1,0,0,0,0,1,1,0,0
Ali Ahmad,password123,Amazonas,31,1,1,1,1,0,0,0,0,1,1
Ashraf,password123,Cuzco,40,0,0,0,0,0,0,0,1,0,1
Victoria,password123,Ica,37,1,0,1,1,1,1,1,0,0,0
Florence,password123,Lambayeque,39,1,1,1,1,0,0,1,1,0,0
Anna,password123,Lima,29,1,1,1,1,0,1,0,1,0,1
Alveena,password123,Junín,25,0,1,1,0,1,1,1,0,0,1
Abu Dujanah,password123,Huancavelica,27,1,0,0,0,1,1,0,0,1,0
Lacey,password123,Huancavelica,29,1,0,0,1,1,1,1,0,0,0
Saima,password123,Madre de Dios,29,1,1,0,0,1,1,0,1,1,0
Arshiya,password123,Lima,18,1,1,1,0,0,1,1,1,1,1
Rhys,password123,Tacna,32,0,0,0,0,0,1,0,0,1,0
Dolcie,password123,Apurímac,28,1,1,0,0,1,1,1,0,1,1
Sanam,password123,San Martín,35,0,0,1,1,0,1,0,0,1,1
Lexi,password123,Pasco,33,1,0,1,0,1,1,1,0,1,1
Keiron,password123,Puno,18,1,0,0,0,1,0,1,1,0,0
Rorry,password123,Arequipa,30,0,0,0,0,1,0,1,1,1,1
Lorenzo,password123,Callao,21,1,1,0,1,0,0,0,0,0,1
Phoebe,password123,Cuzco,28,0,0,1,1,0,0,0,0,1,0
Faizan Ahmed,password123,Ica,18,1,0,1,0,0,0,1,0,0,0
Tayla,password123,Ucayali,20,1,1,0,1,1,0,1,0,0,0
Shahid,password123,Tacna,21,1,0,1,0,1,0,0,1,1,1
Nicole,password123,Apurímac,32,0,0,0,0,1,1,1,0,1,1
Holly,password123,Tumbes,40,0,1,1,0,1,0,0,0,0,0
Cameron,password123,Moquegua,32,1,0,1,1,1,1,0,1,1,1
Damian,password123,Huánuco,31,1,1,1,1,1,1,1,1,1,1
Mishaal,password123,Apurímac,26,1,1,1,0,0,1,0,0,1,0
Luke,password123,Áncash,36,1,1,1,1,1,1,1,1,0,0
Matthew,password123,Cuzco,31,0,0,1,1,0,1,0,1,1,1
Elliot,password123,Ucayali,35,1,0,1,0,0,1,1,1,1,0
Rahat Ali,password123,Huancavelica,31,0,0,1,1,0,1,1,0,1,1
Jameela,password123,Moquegua,39,0,1,0,0,1,1,1,1,1,0
Jabir,password123,Pasco,20,0,1,1,1,1,1,1,1,0,0
William,password123,Huancavelica,40,1,1,1,1,0,0,0,0,0,0
Sophia,password123,Junín,36,1,0,1,0,1,1,1,0,0,1
Owen,password123,Áncash,36,0,0,1,0,0,1,0,1,1,0
Georgina,password123,Ica,23,0,1,0,1,1,1,0,1,1,0
Warren,password123,Tacna,24,1,0,0,0,0,0,1,1,0,1
Ubaid,password123,Amazonas,33,1,0,0,1,1,0,1,0,0,1
Mudassar Munir,password123,Arequipa,21,0,1,0,1,0,1,1,1,0,0
Owais Arain,password123,Puno,32,1,0,0,0,1,0,1,1,1,1
Zaib Khan,password123,Puno,26,0,0,0,1,1,1,0,1,1,0
Fathurrahman al-Ghozi,password123,Ayacucho,40,1,0,1,1,1,1,0,0,1,1
Nicholas,password123,Ucayali,33,0,1,1,1,1,0,0,1,0,1
Aleisha,password123,Apurímac,35,1,1,0,0,1,1,0,0,0,0
Reid,password123,Amazonas,40,1,1,1,1,1,0,0,1,1,1
Waqas,password123,Piura,33,1,0,0,1,1,1,0,0,0,0
Aymen,password123,La Libertad,33,1,0,1,1,1,0,1,0,0,0
Toni Togar,password123,Apurímac,32,1,1,0,0,1,0,0,0,1,0
Noki Dada,password123,Ayacucho,37,0,0,0,0,0,1,1,0,1,0
Annabelle,password123,Áncash,27,0,1,1,1,1,1,1,1,0,1
Lucas,password123,Amazonas,38,0,1,0,0,0,1,0,0,1,1
Akhtar Munir,password123,Amazonas,34,1,0,0,0,0,0,1,1,0,1
Khalid Rehman,password123,Cuzco,20,1,1,0,1,0,0,1,0,0,1
Amelie,password123,Ucayali,22,0,1,1,1,1,1,0,0,0,0
Munfiatun,password123,Apurímac,40,1,0,1,0,1,1,0,0,0,1
Theo,password123,Ica,37,0,0,0,0,0,1,0,0,1,0
Saturna,password123,Huánuco,29,0,0,1,1,1,1,0,1,0,0
Ghulam Sadeeq,password123,Ayacucho,20,1,0,0,0,0,1,1,0,1,1
Marcus,password123,Puno,19,1,0,1,0,1,0,1,1,1,1
Shama,password123,Ica,20,0,0,0,0,0,0,1,1,1,0
Roxie,password123,San Martín,34,1,0,0,0,0,0,1,0,0,0
Musarrat,password123,Callao,33,0,0,0,1,1,1,1,1,0,1
